Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511,cntRest,cntRestNoThres,nEvents,nCounts
590,1.3746361380763128,1.10032,26367.7,0.0,0.0,0.0,50934.3,50765.0,730382.0,77302
600,1.3640271882551658,1.09912,22231.2,0.0,0.0,0.0,55241.8,50877.0,732796.0,77473
610,1.353739809947745,1.09486,24041.1,0.0,0.0,0.0,53385.9,50919.2,735211.0,77427
620,1.3437591285097474,1.09942,24548.9,0.0,0.0,0.0,53456.1,51611.5,737625.0,78005
630,1.3340711887267243,1.08343,24649.8,0.0,0.0,0.0,52472.2,51082.5,740040.0,77122
640,1.3246628841660748,1.09013,25040.7,0.0,0.0,0.0,52811.3,51611.0,742454.0,77852
650,1.3155218929813688,1.08609,25259.9,0.0,0.0,0.0,52556.1,51659.8,744869.0,77816
660,1.3066366194894494,1.09095,25541.8,0.0,0.0,0.0,52875.2,52164.5,747283.0,78417
670,1.2979961409215295,1.08624,25127.3,0.0,0.0,0.0,53203.7,52610.5,749698.0,78331
680,1.2895901588196013,1.09407,25580.6,0.0,0.0,0.0,53569.4,53112.0,752112.0,79150
690,1.281408954610448,1.08382,15770.1,0.0,0.0,0.0,62889.9,52578.0,754527.0,78660
700,1.273443348942744,1.07799,17577.8,0.0,0.0,0.0,60909.2,52494.0,756941.0,78487
710,1.2656846644191682,1.07307,19349.4,0.0,0.0,0.0,59028.6,52525.0,759356.0,78378
720,1.2581246913961437,1.0709,25306.8,0.0,0.0,0.0,53161.2,52836.0,761770.0,78468
730,1.250755656559481,1.08308,21633.1,0.0,0.0,0.0,57978.9,53501.2,764185.0,79612
740,1.2435701940155703,1.08029,22891.9,0.0,0.0,0.0,56766.1,53654.0,766599.0,79658
750,1.2365613186653663,1.07176,23269.2,0.0,0.0,0.0,56008.8,53430.5,769014.0,79278
760,1.2297224016527655,1.06853,23667.0,0.0,0.0,0.0,55620.0,53558.0,771428.0,79287
770,1.2230471477004978,1.07065,5948.25,0.0,0.0,0.0,73744.8,53756.8,773843.0,79693
780,1.2165295741656945,1.065,24230.4,0.0,0.0,0.0,55289.6,53943.8,776257.0,79520
790,1.2101639916641833,1.06749,24566.0,0.0,0.0,0.0,55388.0,54353.2,778672.0,79954
800,1.203944986127558,1.06474,24676.9,0.0,0.0,0.0,55318.1,54433.0,781086.0,79995
810,1.1978674021704052,1.06497,14074.9,0.0,0.0,0.0,66185.1,54500.0,783501.0,80260
820,1.1919263276569543,1.07281,15504.8,0.0,0.0,0.0,65595.2,55297.8,785915.0,81100
830,1.1861170793670088,1.0656,17055.2,0.0,0.0,0.0,63746.8,54951.8,788329.0,80802
840,1.180435189670493,1.06121,24877.3,0.0,0.0,0.0,55838.7,55357.2,790744.0,80716
850,1.1748763941284177,1.0608,19620.3,0.0,0.0,0.0,61310.7,55280.0,793158.0,80931
860,1.1694366199456512,1.05622,20386.0,0.0,0.0,0.0,60441.0,55425.5,795573.0,80827
870,1.164111975207702,1.05567,21365.0,0.0,0.0,0.0,59665.0,55682.5,797987.0,81030
880,1.158898738839827,1.05355,22369.0,0.0,0.0,0.0,58743.0,55368.2,800402.0,81112
890,1.1537933512322818,1.0519,6206.8,0.0,0.0,0.0,75022.2,55808.5,802816.0,81229
900,1.1487924054804868,1.05186,23308.1,0.0,0.0,0.0,58161.9,55877.5,805231.0,81470
910,1.1438926391933477,1.04939,23619.5,0.0,0.0,0.0,57903.5,56089.0,807645.0,81523
920,1.139090926827001,1.05322,24201.2,0.0,0.0,0.0,57863.8,56301.0,810060.0,82065
930,1.1343842725048998,1.04537,24342.1,0.0,0.0,0.0,57353.9,56113.0,812474.0,81696
940,1.1297698032884576,1.03916,13591.8,0.0,0.0,0.0,67860.2,56340.0,814889.0,81452
950,1.1252447628654463,1.04726,15314.5,0.0,0.0,0.0,67015.5,56819.5,817303.0,82330
960,1.1208065056260668,1.0414,24756.8,0.0,0.0,0.0,57354.2,56636.2,819718.0,82111
970,1.116452491099053,1.0436,24642.2,0.0,0.0,0.0,57884.8,57233.8,822132.0,82527
980,1.1121802787224235,1.04007,18778.9,0.0,0.0,0.0,63711.1,57134.8,824547.0,82490
990,1.1079875229255134,1.03579,19732.6,0.0,0.0,0.0,62658.4,57112.8,826961.0,82391
1000,1.1038719685007798,1.03777,21013.2,0.0,0.0,0.0,61775.8,57199.2,829376.0,82789
1010,1.099831446245556,1.03477,21494.5,0.0,0.0,0.0,61295.5,57380.2,831790.0,82790
1020,1.095863868855477,1.03711,21973.6,0.0,0.0,0.0,61244.4,57732.5,834205.0,83218
1030,1.091967227052692,1.03723,24891.8,0.0,2.50563,15.3165,58566.7,57629.0,836619.0,83469
1040,1.0881395859332827,1.02884,3680.07,5.72192,0.0,2.33002,79351.7,57905.2,839034.0,83033
1050,1.0843790815194647,1.03669,24619.4,3.38451,3.4794,0.0,59292.1,58471.0,841448.0,83907
1060,1.0806839175032388,1.02978,24622.1,13.5423,0.0,0.0,58956.6,58069.0,843863.0,83587
1070,1.0770523621691386,1.02419,24188.4,11.0202,0.0,1.03389,59182.0,58339.8,846277.0,83371
1080,1.0734827454846347,1.02907,24680.5,9.50678,22.2009,8.06408,59286.8,58452.5,848692.0,84007
1090,1.0699734563475727,1.02769,24832.3,15.8356,9.16065,8.32879,59267.3,58508.8,851106.0,84133
1100,1.0665229399808023,1.02215,24550.0,20.6115,25.1645,0.0,59329.6,58506.2,853521.0,83917
1110,1.0631296954648455,1.02493,24810.6,19.5596,0.0,19.2156,59549.1,58775.8,855935.0,84383
1120,1.0597922734001055,1.02018,12947.7,12.6375,0.0,3.24111,71273.6,58745.2,858350.0,84229
1130,1.0565092736907051,1.01744,13983.7,12.5569,0.0,11.6957,70231.4,59131.0,860764.0,84239
1140,1.0532793434426035,1.02034,15485.1,12.9531,0.0,9.11056,69213.3,59029.2,863179.0,84716
1150,1.0501011749691336,1.01996,16089.7,13.9465,15.0144,20.4291,68782.9,59446.2,865593.0,84922
1160,1.046973503897581,1.01739,17044.2,9.66681,10.5563,17.3092,67862.3,59578.2,868008.0,84944
1170,1.043895107370847,1.01232,18018.7,23.2441,0.0,17.6515,66705.9,59250.5,870422.0,84756
1180,1.0408648023386478,1.02395,25054.9,23.868,21.3772,0.0488556,60866.8,60180.5,872837.0,85967
1190,1.037881443933058,1.01012,24865.2,25.2316,0.0,6.50801,60154.6,59485.5,875251.0,85041
1200,1.0349439239235607,1.01218,20068.7,41.5314,0.0,15.3126,65327.9,59981.0,877665.0,85449
1210,1.0320511692470768,1.01031,20475.5,35.8327,10.2387,20.7776,64983.6,59996.2,880080.0,85526
1220,1.029202140608735,1.01158,20943.6,43.7082,0.0,35.1195,64856.7,60289.0,882494.0,85868
1230,1.0263958311494294,1.00493,21276.3,44.5878,0.0,28.968,64211.0,60115.5,884909.0,85537
1240,1.0236312651764472,1.00527,21474.7,48.8957,34.1585,20.2253,64222.0,60461.8,887323.0,85800
1250,1.0209074969536986,1.00825,21983.0,47.0011,18.026,26.9708,64213.0,60682.2,889738.0,86288
1260,1.018223609548289,1.00392,22135.9,68.9121,6.32975,30.3771,63909.5,60631.0,892152.0,86151
1270,1.0155787137303771,1.00641,22113.3,89.442,13.5762,39.7474,64341.9,61192.2,894567.0,86598
1280,1.01297194692346,1.00412,22667.7,82.9975,24.15,32.043,63827.2,61069.0,896981.0,86634
1290,1.0104024722023885,1.00837,5372.52,76.604,10.8812,38.8242,81736.2,61297.2,899396.0,87235
1300,1.00786947733659,0.998232,22909.6,74.0826,0.486972,33.9157,63571.9,61137.2,901810.0,86590
1310,1.005372173876119,1.00425,23438.0,77.0945,17.705,45.6365,63766.5,61415.2,904225.0,87345
1320,1.0029097962783147,1.00802,23686.5,100.438,9.58873,49.9474,64060.6,61819.5,906639.0,87907
1330,1.0004816010729483,1.0053,23625.1,101.781,18.9958,32.7994,64125.3,62148.0,909054.0,87904
1332,1.0,1.0,257968.0,1123.83,206.351,643.843,701939.0,680016.0,10000000.0,961881
1340,0.9980868660638995,0.997258,23427.6,127.554,18.6134,45.4496,63812.8,61979.0,911468.0,87432
1350,0.9957248895654944,0.999412,23493.0,128.329,23.3408,57.289,64151.1,62442.8,913883.0,87853
1360,0.9933949896717502,0.996666,23551.9,116.499,27.8158,61.4825,64085.3,62356.0,916297.0,87843
1370,0.9910965035568808,0.996569,12461.0,159.029,16.7752,75.6312,75353.6,62402.0,918712.0,88066
1380,0.9888287868055005,0.991633,13476.3,143.567,19.9813,73.7371,74146.4,62040.8,921126.0,87860
1390,0.9865912127710615,0.994612,14246.8,153.837,17.6886,85.8599,73850.8,62837.0,923541.0,88355
1400,0.984383171961136,0.992749,14918.5,150.197,33.5623,96.2849,73221.4,62718.0,925955.0,88420
1410,0.9822040714482329,0.989225,15810.9,162.307,47.0377,80.4809,72235.3,62542.0,928370.0,88336
1420,0.9800533343049194,0.990982,16204.3,201.428,30.9677,98.4676,72187.9,63104.8,930784.0,88723
1430,0.977930399062073,0.998132,24409.5,206.635,38.6627,105.646,64834.6,63571.0,933199.0,89595
1440,0.9758347191891641,0.990635,24128.8,195.195,44.9924,129.446,64653.6,63400.5,935613.0,89152
1450,0.9737657625955237,0.990611,18298.1,213.447,23.9037,106.744,70737.8,63441.8,938028.0,89380
1460,0.9717230111516098,0.994171,18528.4,234.35,49.051,99.5602,71020.6,64107.8,940442.0,89932
1470,0.969705960229337,0.988305,18820.1,269.885,51.9643,122.617,70366.5,63854.2,942857.0,89631
1480,0.9677141182605863,0.984934,19430.5,248.315,42.3467,131.756,69701.1,63790.8,945271.0,89554
1490,0.9657470063130538,0.986615,20058.3,264.089,38.9545,133.414,69441.2,64017.2,947686.0,89936
1500,0.9638041576826505,0.991319,20404.9,293.848,51.3995,130.751,69714.1,64498.8,950100.0,90595
1510,0.961885117501694,0.982628,20471.9,298.06,56.6492,143.904,69058.5,64239.2,952515.0,90029
1520,0.9599894423621822,0.984238,20868.3,289.522,42.3992,169.437,69035.4,64475.0,954929.0,90405
1530,0.958116699953473,0.982656,5777.55,307.644,47.1839,149.826,84205.8,64826.1,957344.0,90488
1540,0.9562664687137262,0.983683,6411.1,344.552,51.7393,136.88,83866.7,64928.0,959758.0,90811
1550,0.9544383374944992,0.987114,21845.5,358.262,51.4135,177.608,68924.2,65243.2,962173.0,91357
1560,0.9526319052379162,0.980138,21942.4,328.612,59.5301,166.158,68442.3,64950.8,964587.0,90939
1570,0.9508467806658631,0.98283,22197.7,356.403,89.4935,186.579,68586.9,65430.2,967002.0,91417
1580,0.9490825819806875,0.983835,22450.6,386.024,64.1585,222.676,68615.5,65600.5,969416.0,91739
1590,0.9473389365769013,0.980343,22696.0,420.636,73.2678,183.852,68267.2,65489.0,971830.0,91641
1600,0.9456154807634207,0.976867,22772.7,411.86,68.4636,179.304,68110.6,65530.8,974245.0,91543
1610,0.9439118594958918,0.979019,22922.3,452.239,82.4409,228.275,68286.7,65767.2,976659.0,91972
1620,0.9422277261186726,0.977985,11932.9,447.198,67.6942,222.86,79431.4,65919.8,979074.0,92102
1630,0.9405627421160706,0.982147,12877.0,490.036,87.3214,246.465,79021.2,66348.5,981488.0,92722
1640,0.9389165768724438,0.975795,13501.9,492.414,83.5026,272.979,77998.2,65971.0,983903.0,92349
1650,0.937288907440799,0.974566,14143.8,512.662,74.6249,252.574,77475.3,66050.8,986317.0,92459
1660,0.9356794183195354,0.97555,14593.1,515.181,98.903,265.795,77306.0,66352.5,988732.0,92779
